idx,left_context,link_title,link_text,right_context,url,mention_in_page
88,ранна енеолитна цивилизация в комплекса,Археологически резерват „Дуранкулак“,Блантица,Винча Караново VI Хотница Варненският,,История на България
89,енеолитна цивилизация в комплекса Блантица,Винчанска култура,Винча,Караново VI Хотница Варненският некропол,,История на България
90,цивилизация в комплекса Блантица Винча,Караново VI,,Хотница Варненският некропол Tази цивилизация,,История на България
91,комплекса Блантица Винча Караново VI,Хотница,,Варненският некропол Tази цивилизация е,,История на България
92,Блантица Винча Караново VI Хотница,Варненски некропол,Варненският некропол,Tази цивилизация е вероятно най,,История на България
93,човешки останки зъб на прачовека,Graecopithecus freybergi,,датиращи от 7 2 милиона,,История на България
94,Септември е името на деветия,месец,,от годината според григорианския календар,,Септември
95,деветия месец от годината според,Григориански календар,григорианския календар,и има 30 дни Етимология,,Септември
96,григорианския календар и има 30,ден,дни,Етимология Името му произлиза от,,Септември
97,Етимология Името му произлиза от,латински език,латинската,дума за седем septem тъй,,Септември
98,Името му произлиза от латинската,дума,,за седем septem тъй като,,Септември
99,като е седмият месец според,римски календар,римския календар,който започва през март С,,Септември
100,римския календар който започва през,март,,С въвеждането на юлианския календар,,Септември
101,през март С въвеждането на,Юлиански календар,юлианския календар,за начало на годината се,,Септември
102,на годината се определя датата,1 януари,,и септември става деветият месец,,Септември
103,и септември става деветият месец,Древна Гърция,Древните гърци,са наричали месеца Boedromion Старото,,Септември
104,са наричали месеца Boedromion Старото,славяни,славянско,име на месеца е руен,,Септември
105,като през този месец пожълтяват,трева,,а и листата на дърветата,,Септември
106,този месец пожълтяват тревата и,листо,листата,на дърветата Прабългарите наричали този,,Септември
107,тревата и листата на дърветата,Прабългари,,е наричали този месец Девем,,Септември
108,култура отбелязва се през първата,неделя,,на септември В България 15,,Септември
109,първата неделя на септември В,България,,15 септември е първият учебен,,Септември
110,неделя на септември В България,15 септември,,е първият учебен ден 22,,Септември
111,септември е първият учебен ден,22 септември,22,или 23 септември е есенното,,Септември
112,първият учебен ден 22 или,23 септември,,е есенното равноденствие денят е,,Септември
113,или 23 септември е есенното,равноденствие,,денят е равен на нощта,,Септември
114,вият ден в годината според,Григориански календар,григорианския календар,262 ри през високосна Остават,,18 септември
115,григорианския календар 262 ри през,високосна година,високосна,Остават 104 дни до края,,18 септември
116,до края на годината Събития,96,,г След убийството на Домициан,,18 септември
117,96 г След убийството на,Домициан,,за римски император е определен,,18 септември
118,След убийството на Домициан за,римски император,,е определен Нерва първият от,,18 септември
119,за римски император е определен,Нерва,,първият от Петимата добри императори,,18 септември
120,е определен Нерва първият от,Петимата добри императори,,1502 г Христофор Колумб достига,,18 септември
121,първият от Петимата добри императори,1502,,г Христофор Колумб достига бреговете,,18 септември
122,Петимата добри императори 1502 г,Христофор Колумб,,достига бреговете на Коста Рика,,18 септември
123,Христофор Колумб достига бреговете на,Коста Рика,,при последната си 4 та,,18 септември
124,си 4 та експедиция до,Новия свят,,1759 г Канадската провинция Квебек,,18 септември
125,та експедиция до Новия свят,1759,,г Канадската провинция Квебек окончателно,,18 септември
126,до Новия свят 1759 г,Канада,Канадската,провинция Квебек окончателно попада под,,18 септември
127,Новия свят 1759 г Канадската,провинция,,Квебек окончателно попада под английски,,18 септември
128,свят 1759 г Канадската провинция,Квебек,,окончателно попада под английски контрол,,18 септември
129,провинция Квебек окончателно попада под,Великобритания,английски,контрол мини 150px Капитолият на,,18 септември
130,окончателно попада под английски контрол,Файл:Uscapitolindaylight.jpg,мини|150px|Капитолият на [[САЩ]],1793 г Президентът Джордж Вашингтон,,18 септември
131,мини 150px Капитолият на САЩ,1793,,г Президентът Джордж Вашингтон прави,,18 септември
132,на САЩ 1793 г Президентът,Джордж Вашингтон,,прави първата копка на сградата,,18 септември
133,първата копка на сградата на,Конгрес на САЩ,Конгреса на САЩ,Капитолия 1810 г В Чили,,18 септември
134,Източници Вижте също,Списък на страните по света,,Категория Население Категория Списъци на,,Страни по население
135,Списък на страните по света,Категория:Население,,Категория Списъци на страни,,Страни по население
136,списък съдържа имената на всички,Списък на международно признатите суверенни държави,международно признати суверенни държави,на де факто държавите без,,Списък на страните
137,международно признати суверенни държави на,Непризнати държави,де факто държавите без международно признание,и на зависимите територии А,,Списък на страните
138,без международно признание и на,Списък на зависими територии,зависимите територии,А Б В Г Д,,Списък на страните
139,бъдещи възможни промени 10 октомври,2010,,г разпад на Нидерландски Антили,,Списък на страните
140,октомври 2010 г разпад на,Холандски Антили,Нидерландски Антили,Аруба Синт Мартен и Кюрасао,,Списък на страните
141,разпад на Нидерландски Антили Аруба,Синт Мартен,,и Кюрасао са станали отделни,,Списък на страните
142,Антили Аруба Синт Мартен и,Кюрасао,,са станали отделни зависими самоуправляващи,,Списък на страните
143,зависими самоуправляващи се територии на,Холандия,Нидерландия,останалите три части на Нидерландски,,Списък на страните
144,Нидерландия останалите три части на,Холандски Антили,Нидерландски Антили,Бонер Саба и Синт Еустациус,,Списък на страните
145,три части на Нидерландски Антили,Бонер,,Саба и Синт Еустациус са,,Списък на страните
146,части на Нидерландски Антили Бонер,Саба,,и Синт Еустациус са станали,,Списък на страните
147,Нидерландски Антили Бонер Саба и,Синт Еустациус,,са станали интегрална част на,,Списък на страните
148,са станали интегрална част на,Холандия,Нидерландия,2011 г Майот става интегрална,,Списък на страните
149,станали интегрална част на Нидерландия,2011,,г Майот става интегрална част,,Списък на страните
150,част на Нидерландия 2011 г,Майот,,става интегрална част на Франция,,Списък на страните
151,Майот става интегрална част на,Франция,,като нов отвъдморски департамент Забележки,,Списък на страните
152,част на Франция като нов,Департаменти на Франция,отвъдморски департамент,Забележки 1 Малки далечни острови,,Списък на страните
153,нов отвъдморски департамент Забележки 1,Малки далечни острови на САЩ,,Вижте също Списък на международно,,Списък на страните
154,острови на САЩ Вижте също,Списък на международно признатите суверенни държави,,Списък на страните по брой,,Списък на страните
155,на международно признатите суверенни държави,Списък на страните по население,Списък на страните по брой на населението,Списък на страните по площ,,Списък на страните
156,Януари е името на първия,месец,,от годината според григорианския календар,,Януари
157,името на първия месец от,година,,а според григорианския календар и,,Януари
158,първия месец от годината според,Григориански календар,григорианския календар,и има 31 дни Януари,,Януари
159,Януари е предпоследният месец в,Римски календар,римския календар,Януари и февруари са последните,,Януари
160,в римския календар Януари и,февруари,,са последните два месеца добавени,,Януари
161,Името на месеца идва от,латински,,Iānuārius месецът на Янус римският,,Януари
162,от латински Iānuārius месецът на,Янус,,римският бог на вратите и,,Януари
163,латински Iānuārius месецът на Янус,римски пантеон,римският бог,на вратите и проходите на,,Януари
164,славянско название на месеца е,Прабългари,,е наричали този месец Алем,,Януари
165,този месец Алем Събития На,1 януари,,се отбелязва Нова година Любопитно,,Януари
166,На 1 януари се отбелязва,Нова година,,Любопитно Знаците на зодиака през,,Януари
167,Нова година Любопитно Знаците на,зодиак,,през месец януари са Козирог,,Януари
168,зодиака през месец януари са,Козирог (зодия),Козирог,22 декември 20 януари и,,Януари
169,през месец януари са Козирог,22 декември,,20 януари и Водолей 21,,Януари
170,януари са Козирог 22 декември,20 януари,,и Водолей 21 януари 18,,Януари
171,22 декември 20 януари и,Водолей (зодия),Водолей,21 януари 18 февруари Слънцето,,Януари
172,декември 20 януари и Водолей,21 януари,,18 февруари Слънцето обаче преминава,,Януари
173,януари и Водолей 21 януари,18 февруари,,Слънцето обаче преминава през зодиакалните,,Януари
174,Водолей 21 януари 18 февруари,Слънце,,о обаче преминава през зодиакалните,,Януари
175,Слънцето обаче преминава през зодиакалните,съзвездие,съзвездия,Стрелец и Козирог В обикновена,,Януари
176,е името на дванадесетия последен,месец,,от годината според григорианския календар,,Декември
177,на дванадесетия последен месец от,година,,а според григорианския календар и,,Декември
178,последен месец от годината според,Григориански календар,григорианския календар,и има 31 дни Етимология,,Декември
179,григорианския календар и има 31,ден,дни,Етимология Името на месец декември,,Декември
180,на месец декември произлиза от,латински език,латинската,дума decem десет тъй като,,Декември
181,месец декември произлиза от латинската,дума,,decem десет тъй като е,,Декември
182,като е десетият месец според,Римски календар,римския календар,който започва през март С,,Декември
183,римския календар който започва през,март,,С въвеждането на юлианския календар,,Декември
184,през март С въвеждането на,Юлиански календар,юлианския календар,за начало на годината се,,Декември
185,на годината се определя датата,1 януари,,и декември става дванадесетият месец,,Декември
186,име на месеца е студен,Прабългари,,е наричали този месец Алтом,,Декември
187,7 8 градуса Събития На,25 декември,,християните празнуват Рождество Христово Любопитно,,Декември
188,градуса Събития На 25 декември,Християнство,християните,празнуват Рождество Христово Любопитно Месец,,Декември
189,На 25 декември християните празнуват,Рождество Христово,,Любопитно Месец декември започва със,,Декември
190,започва със същия ден от,седмица,,а с който и септември,,Декември
191,от седмицата с който и,септември,,Вижте също Исторически годишнини Календар,,Декември
192,който и септември Вижте също,Исторически годишнини,,Календар на православните църковни празници,,Декември
193,септември Вижте също Исторически годишнини,Календар на православните църковни празници/Декември,Календар на православните църковни празници за месец декември,Външни препратки Категория Месеци,,Декември
194,Преминаването от,Юлиански календар,юлианския,към григорианския календар не става,,Приемане на григорианския календар
195,Преминаването от юлианския към,григориански календар,григорианския календар,не става едновременно във всички,,Приемане на григорианския календар
196,календар е наложен от папа,Григорий XIII,,през 1582 г 4 октомври,,Приемане на григорианския календар
197,от папа Григорий XIII през,1582,,г 4 октомври е последван,,Приемане на григорианския календар
198,октомври Страните под негова власт,Испания,,Португалия и Полша го приемат,,Приемане на григорианския календар
199,Страните под негова власт Испания,Португалия,,и Полша го приемат веднага,,Приемане на григорианския календар
200,негова власт Испания Португалия и,Полша,,го приемат веднага Други като,,Приемане на григорианския календар
201,го приемат веднага Други като,Франция,,съвсем скоро след тях Англия,,Приемане на григорианския календар
202,Франция съвсем скоро след тях,Англия,,и протестантските страни приемат григорианския,,Приемане на григорианския календар
203,календар през XVIII век а,Източно православие,източноправославните,чак в началото на XX,,Приемане на григорианския календар
204,григорианския тъй като има повече,високосна година,високосни години,В зависимост от това кога,,Приемане на григорианския календар
205,са следните За събитията до,4 октомври,,1582 г включително има само,,Приемане на григорианския календар
206,За събитията до 4 октомври,1582,,г включително има само един,,Приемане на григорианския календар
207,се прави поправка Датите от,5 октомври,5,до 14 октомври 1582 г,,Приемане на григорианския календар
208,поправка Датите от 5 до,14 октомври,,1582 г включително 10 пропуснати,,Приемане на григорианския календар
209,календар по нов стил Датата,29 февруари,,не съществува в григорианския календар,,Приемане на григорианския календар
210,по нов стил през годините,1700,,1800 1900 и няма да,,Приемане на григорианския календар
211,нов стил през годините 1700,1800,,1900 и няма да съществува,,Приемане на григорианския календар
212,стил през годините 1700 1800,1900,,и няма да съществува през,,Приемане на григорианския календар
213,и няма да съществува през,2100,,г вижте григориански календар Годишнините,,Приемане на григорианския календар
214,Предложеният календар е за,,,година други годишни календари Бележки,,Исторически годишнини
215,вият ден в годината според,Григориански календар,григорианския календар,Остават 334 дни до края,,31 януари
216,края на годината 335 през,високосна година,високосна,Събития 1862 г Американският астроном,,31 януари
217,годината 335 през високосна Събития,1862,,г Американският астроном Алвън Кларк,,31 януари
218,Събития 1862 г Американският астроном,Алвън Кларк,,първи наблюдава бледо бяло джудже,,31 януари
219,Алвън Кларк първи наблюдава бледо,бяло джудже,,компаньон на най ярката звезда,,31 януари
220,най ярката звезда на небосклона,Сириус,,1878 г По време на,,31 януари
221,ярката звезда на небосклона Сириус,1878,,г По време на Руско,,31 януари
222,1878 г По време на,Руско-турска война (1877–1878),,е сключено примирие което дава,,31 януари
223,началото на прекратяването на войната,1879,,г Във Франция денят 14,,31 януари
224,на войната 1879 г Във,Франция,,денят 14 юли е обявен,,31 януари
225,1879 г Във Франция денят,14 юли,,е обявен за национален празник,,31 януари
226,14 юли е обявен за,национален празник,,1899 г Съставено е осемнадесетото,,31 януари
227,е обявен за национален празник,1899,,г Съставено е осемнадесетото правителство,,31 януари
228,празник 1899 г Съставено е,Правителство на България (18),осемнадесетото правителство,на България начело с Димитър,,31 януари
229,Съставено е осемнадесетото правителство на,България,,начело с Димитър Греков 1906,,31 януари
230,правителство на България начело с,Димитър Греков,,1906 г Земетресение с магнитуд,,31 януари
231,България начело с Димитър Греков,1906,,г Земетресение с магнитуд 8,,31 януари
232,с Димитър Греков 1906 г,Земетресение,,с магнитуд 8 8 по,,31 януари
233,Греков 1906 г Земетресение с,магнитуд,,8 8 по скалата на,,31 януари
234,с магнитуд 8 8 по,скала на Рихтер,скалата на Рихтер,разтърсва крайбрежието на Еквадор 1915,,31 януари
235,вият ден в годината според,Григориански календар,григорианския календар,Остават 364 дни до края,,1 януари
236,края на годината 365 през,високосна година,високосна,Събития мини 80px Трамвай в,,1 януари
237,годината 365 през високосна Събития,Файл:TramvajSofia1901.jpg,"мини|80px|Трамвай в София, 1901 г.",мини 80px Трансибирската магистрала 1903,,1 януари
238,Трамвай в София 1901 г,Файл:Poezd-transsib.jpg,"мини|80px|Трансибирската магистрала, 1903 г.",мини 80px Сун Ятсен мини,,1 януари
239,80px Трансибирската магистрала 1903 г,Файл:Sunyatsen1.jpg,мини|80px|Сун Ятсен,мини 80px Голда Меир 45,,1 януари
240,г мини 80px Сун Ятсен,Файл:Golda Meir 03265u.jpg,мини|80px|Голда Меир,45 г пр н е,,1 януари
241,Ятсен мини 80px Голда Меир,45 г. пр.н.е.,,Юлианският календар влиза в сила,,1 януари
242,45 г пр н е,Юлиански календар,Юлианският календар,влиза в сила за първи,,1 януари
243,в сила за първи път,404,,г Състои се последният известен,,1 януари
244,г Състои се последният известен,гладиатор,,ки бой в Рим 630,,1 януари
245,последният известен гладиаторски бой в,Рим,,630 г Пророкът Мохамед се,,1 януари
246,известен гладиаторски бой в Рим,630,,г Пророкът Мохамед се запътва,,1 януари
